Name,ISO_Code,Total_Cases,Total_Population,Cases_per_100
Afghanistan,AFG,12937238.0,39074280,33.10934456117938
Africa,OWID_AFR,586057065.0,1216000000,48.19548231907895
Albania,ALB,10966480.0,2877239,381.1459527693042
Algeria,DZA,19419483.0,43984569,44.1506724778865
Andorra,AND,1501686.0,77287,1942.9994695097496
Angola,AGO,2961298.0,33032075,8.964916675685679
Anguilla,AIA,,15026,
Antigua and Barbuda,ATG,61660.0,98069,62.87409884876974
Argentina,ARG,308381690.0,45267449,681.2438005949926
Armenia,ARM,28271613.0,2964219,953.7626268504451
Asia,OWID_ASI,3995482734.0,4561000000,87.60102464371849
Australia,AUS,7429676.0,25550683,29.078189416697786
Austria,AUT,57162103.0,9015361,634.0522914168384
Azerbaijan,AZE,31728262.0,10154978,312.4404799301387
Bahamas,BHS,1447671.0,393893,367.52899899211207
Bahrain,BHR,21968705.0,1711057,1283.925959217022
Bangladesh,BGD,112513613.0,164972348,68.20149822926689
Barbados,BRB,214815.0,287437,74.73463750317461
Belarus,BLR,41455361.0,9448772,438.7380815200113
Belgium,BEL,113194681.0,11598451,975.9465380333978
Belize,BLZ,1542359.0,398845,386.70636462786297
Benin,BEN,843563.0,12175480,6.92837571906816
Bermuda,BMU,,62237,
Bhutan,BTN,122011.0,773069,15.782679165766575
Bolivia,BOL,40681064.0,11700207,347.6952501780524
Bosnia and Herzegovina,BIH,18337438.0,3277152,559.5540884280009
Botswana,BWA,2944436.0,2359585,124.78618062074476
Brazil,BRA,1677498337.0,212821986,788.2166539879954
Brunei,BRN,56028.0,438202,12.785884135626949
Bulgaria,BGR,30204059.0,6939018,435.27857976445654
Burkina Faso,BFA,1355428.0,20997293,6.455251160232893
Burundi,BDI,241036.0,11948454,2.0172986396399066
Cambodia,KHM,119367.0,16758448,0.7122795619260208
Cameroon,CMR,6858000.0,26655083,25.72867621533949
Canada,CAN,113185435.0,37799407,299.4370652428489
Cape Verde,CPV,2384619.0,549935,433.6183367125206
Cayman Islands,CYM,,65854,
Central African Republic,CAF,1359746.0,4843954,28.070993242297508
Chad,TCD,561015.0,16502877,3.3994981602298804
Chile,CHL,154201016.0,19144605,805.4541527495605
China,CHN,36540991.0,1440297825,2.5370441005838495
Colombia,COL,325555196.0,50976248,638.6409529394945
Comoros,COM,320782.0,872695,36.75763009986307
Congo,COG,1567575.0,5540555,28.292743236011553
Costa Rica,CRI,30372745.0,5102158,595.2921293303735
Cote d'Ivoire,CIV,6156725.0,26378274,23.340135901234476
