Date,AirportName,PercentOfBaseline
2020-03-16,Boston Logan International,97.0
2020-03-16,Charlotte Douglas International,91.0
2020-03-16,Chicago OHare International,94.0
2020-03-16,Dallas/Fort Worth International,82.0
2020-03-16,Daniel K. Inouye International,95.0
2020-03-16,Denver International,94.0
2020-03-16,Detroit Metropolitan Wayne County,73.0
2020-03-16,Hartsfield-Jackson Atlanta International,92.0
2020-03-16,John F. Kennedy International,70.0
2020-03-16,LaGuardia,95.0
2020-03-16,Los Angeles International,98.0
2020-03-16,McCarran International,68.0
2020-03-16,Miami International,98.0
2020-03-16,Newark Liberty International,100.0
2020-03-16,San Francisco International,81.0
2020-03-16,Seattle-Tacoma International,80.0
2020-03-16,Washington Dulles International,89.0
2020-03-17,Boston Logan International,94.0
2020-03-17,Charlotte Douglas International,90.0
2020-03-17,Chicago OHare International,90.0
2020-03-17,Dallas/Fort Worth International,88.0
2020-03-17,Daniel K. Inouye International,95.0
2020-03-17,Denver International,88.0
2020-03-17,Detroit Metropolitan Wayne County,84.0
2020-03-17,Hartsfield-Jackson Atlanta International,87.0
2020-03-17,John F. Kennedy International,65.0
2020-03-17,LaGuardia,88.0
2020-03-17,Los Angeles International,99.0
2020-03-17,McCarran International,67.0
2020-03-17,Miami International,90.0
2020-03-17,Newark Liberty International,100.0
2020-03-17,San Francisco International,89.0
2020-03-17,Seattle-Tacoma International,85.0
2020-03-17,Washington Dulles International,94.0
2020-03-18,Boston Logan International,93.0
2020-03-18,Charlotte Douglas International,76.0
2020-03-18,Chicago OHare International,88.0
2020-03-18,Dallas/Fort Worth International,77.0
2020-03-18,Daniel K. Inouye International,90.0
2020-03-18,Denver International,81.0
2020-03-18,Detroit Metropolitan Wayne County,71.0
2020-03-18,Hartsfield-Jackson Atlanta International,90.0
2020-03-18,John F. Kennedy International,64.0
2020-03-18,LaGuardia,78.0
2020-03-18,Los Angeles International,89.0
2020-03-18,McCarran International,63.0
2020-03-18,Miami International,82.0
2020-03-18,Newark Liberty International,100.0
2020-03-18,San Francisco International,70.0
2020-03-18,Seattle-Tacoma International,92.0
2020-03-18,Washington Dulles International,85.0
2020-03-19,Boston Logan International,80.0
2020-03-19,Charlotte Douglas International,77.0
2020-03-19,Chicago OHare International,83.0
2020-03-19,Dallas/Fort Worth International,73.0
2020-03-19,Daniel K. Inouye International,93.0
2020-03-19,Denver International,59.0
2020-03-19,Detroit Metropolitan Wayne County,66.0
2020-03-19,Hartsfield-Jackson Atlanta International,89.0
2020-03-19,John F. Kennedy International,58.0
2020-03-19,LaGuardia,69.0
2020-03-19,Los Angeles International,88.0
2020-03-19,McCarran International,44.0
2020-03-19,Miami International,75.0
2020-03-19,Newark Liberty International,92.0
2020-03-19,San Francisco International,59.0
2020-03-19,Seattle-Tacoma International,78.0
2020-03-19,Washington Dulles International,71.0
2020-03-20,Boston Logan International,89.0
2020-03-20,Charlotte Douglas International,80.0
2020-03-20,Chicago OHare International,82.0
2020-03-20,Dallas/Fort Worth International,71.0
2020-03-20,Daniel K. Inouye International,86.0
2020-03-20,Denver International,60.0
2020-03-20,Detroit Metropolitan Wayne County,73.0
2020-03-20,Hartsfield-Jackson Atlanta International,76.0
2020-03-20,John F. Kennedy International,58.0
2020-03-20,LaGuardia,67.0
2020-03-20,Los Angeles International,84.0
2020-03-20,McCarran International,39.0
2020-03-20,Miami International,80.0
2020-03-20,Newark Liberty International,93.0
2020-03-20,San Francisco International,58.0
2020-03-20,Seattle-Tacoma International,71.0
2020-03-20,Washington Dulles International,75.0
2020-03-21,Boston Logan International,90.0
2020-03-21,Charlotte Douglas International,73.0
2020-03-21,Chicago OHare International,83.0
2020-03-21,Dallas/Fort Worth International,71.0
2020-03-21,Daniel K. Inouye International,94.0
2020-03-21,Denver International,74.0
2020-03-21,Detroit Metropolitan Wayne County,73.0
2020-03-21,Hartsfield-Jackson Atlanta International,85.0
2020-03-21,John F. Kennedy International,73.0
2020-03-21,LaGuardia,66.0
2020-03-21,Los Angeles International,76.0
2020-03-21,McCarran International,23.0
2020-03-21,Miami International,56.0
2020-03-21,Newark Liberty International,78.0
